from,to,value
"2026-06-06T22:00:00Z","2026-06-06T23:00:00Z","33.58894"
"2026-06-06T23:00:00Z","2026-06-07T00:00:00Z","32.25733"
"2026-06-07T00:00:00Z","2026-06-07T01:00:00Z","31.38863"
"2026-06-07T01:00:00Z","2026-06-07T02:00:00Z","30.10462"
"2026-06-07T02:00:00Z","2026-06-07T03:00:00Z","28.38983"
"2026-06-07T03:00:00Z","2026-06-07T04:00:00Z","25.08163"
"2026-06-07T04:00:00Z","2026-06-07T05:00:00Z","21.01659"
"2026-06-07T05:00:00Z","2026-06-07T06:00:00Z","20.47038"
"2026-06-07T06:00:00Z","2026-06-07T07:00:00Z","20.35019"
"2026-06-07T07:00:00Z","2026-06-07T08:00:00Z","19.81469"
"2026-06-07T08:00:00Z","2026-06-07T09:00:00Z","19.46364"
"2026-06-07T09:00:00Z","2026-06-07T10:00:00Z","18.74369"
"2026-06-07T10:00:00Z","2026-06-07T11:00:00Z","18.2427"
"2026-06-07T11:00:00Z","2026-06-07T12:00:00Z","16.13878"
"2026-06-07T12:00:00Z","2026-06-07T13:00:00Z","15.09158"
"2026-06-07T13:00:00Z","2026-06-07T14:00:00Z","16.07571"
"2026-06-07T14:00:00Z","2026-06-07T15:00:00Z","18.5164"
"2026-06-07T15:00:00Z","2026-06-07T16:00:00Z","20.27998"
"2026-06-07T16:00:00Z","2026-06-07T17:00:00Z","26.79761"
"2026-06-07T17:00:00Z","2026-06-07T18:00:00Z","33.26764"
"2026-06-07T18:00:00Z","2026-06-07T19:00:00Z","35.67977"
"2026-06-07T19:00:00Z","2026-06-07T20:00:00Z","36.7353"
"2026-06-07T20:00:00Z","2026-06-07T21:00:00Z","37.21725"
"2026-06-07T21:00:00Z","2026-06-07T22:00:00Z","37.1161"
