from,to,value
"2026-09-01T00:00:00Z","2026-09-01T01:00:00Z","14.137"
"2026-09-01T01:00:00Z","2026-09-01T02:00:00Z","14.23"
"2026-09-01T02:00:00Z","2026-09-01T03:00:00Z","14.59"
"2026-09-01T03:00:00Z","2026-09-01T04:00:00Z","15.668"
"2026-09-01T04:00:00Z","2026-09-01T05:00:00Z","18.846"
"2026-09-01T05:00:00Z","2026-09-01T06:00:00Z","20.515"
"2026-09-01T06:00:00Z","2026-09-01T07:00:00Z","19.275"
"2026-09-01T07:00:00Z","2026-09-01T08:00:00Z","14.946"
"2026-09-01T08:00:00Z","2026-09-01T09:00:00Z","11.976"
"2026-09-01T09:00:00Z","2026-09-01T10:00:00Z","9"
"2026-09-01T10:00:00Z","2026-09-01T11:00:00Z","5.09"
